Key,Translation
"Bestiary_FlavorText.npc_Pirate","Some members of the Terrarian Race became restless and separated from the gargantuan colonies located on the Continent. They instead opted for the lawless lands of the ocean and Archipelago, a few choosing to settle down in the colonies of Greater Terrarians who have proven their worth."
"Bestiary_FlavorText.npc_Truffle","The Mycelium. A gift to fight infection, rejuvenate those in need, throw light into the darkest of caverns.  That's what the Truffle says it is, anyway.  It doesn't seem very interested in elaborating besides the fact that each individual branch of Mycelium is actually all one organism. Meaning if you walk on the ‘grass' located there, you're actually walking on the resident truffle's skin in a sort of way."
"Bestiary_FlavorText.npc_TaxCollector","Attempting to extort the Demons of the Underworld was a gargantuan lapse in judgment on this man's part, to say the least.  When a man has reached such a point of desperation that his only remaining option is to extort beasts that know naught but a grand cavern resembling that of hell itself, he probably is going to take every chance he can get to settle down somewhere.  No matter how useless you think he is, you likely won't get him to stay away for long."
"Bestiary_FlavorText.npc_Cyborg","PRIMORDIAL SCOUT HAS BEEN COMPROMISED. ARRANGE THE ARRIVAL OF A BACKUP SCOUT. WE MUST ASSIST THE TERRARIAN AND ENSURE SAFETY FROM FUTURE THREATS. "
"Bestiary_FlavorText.npc_PartyGirl","No one is quite sure about the origins of this individual.  Their wares are probably more useful than you might think, though.  Some theorize that she's a manifestation of a creature from another dimension just here to enjoy herself. Others theorize she's the manifestation of a Higher Being known as the Harmony Huntress."
"Bestiary_FlavorText.npc_Princess","The aristocracy of the Continent only allow their children to travel to the Archipelago as a learning experience/prolonged field trip.  They tend to make sure that the colony they would be residing in is substantially large and safe enough for them first, though."
"Bestiary_FlavorText.npc_SantaClaus","The elves were a lie.  He actually gains his gifts for others by slaughtering any hostile Archipelago creature that enters his presence and reshaping their parts."
"Bestiary_FlavorText.npc_TownCat","Unlike most friendly creatures, Town Pets aren't terribly picky when it comes to the location they reside in. Additionally, they boost the morale of nearby Lesser Terrarians without causing them to feel crowded."
"Bestiary_FlavorText.npc_TownDog"," The Pet Delivery Services on the Continent are so overcrowded that they're willing to give away their pets for free! Unfortunately, the same can't be said about those who sell licenses to own one in a place as dangerous as the Archipelago."
"Bestiary_FlavorText.npc_TownBunny","A precious sign of hope in the Archipelago. Essentially a mascot for the Purity. Naturally, owning one requires a significant understanding of the Archipelago's creatures and dangers as a prerequisite."
"Bestiary_FlavorText.npc_TownSlimeBlue","After assessment of a budding Greater Terrarians' abilities is complete, there is still a lot of work to be done.  The Nerdy Slime does this by shedding much of its mass from its King Slime form and inserting itself into Terrarian society.  Through doing this, it may monitor the Greater Terrarian and gather data on them and Lesser Terrarians alike."
"Bestiary_FlavorText.npc_TownSlimeGreen","The Cool Slime was assigned to enter a Terrarian Colony by any means necessary.  So naturally, if it were to enter during a celebration where a ton of people are gathered in one place, it wouldn't be noticed. Right?"
"Bestiary_FlavorText.npc_TownSlimeOld","The very first slime to enter development by the Derplings, who gave it the first neuron lattice capable of feeling emotion and expressing a personality later on.  Unfortunately, it does not contain any scouting systems, which means that unlike the younger slimes, it is unable to relay information to the Derplings and is unemployed as a result.  It was originally locked away with the other Derpling experiments in the Dungeon, but somehow its containment vessel breached the security there and has been wandering the Archipelago."
"Bestiary_FlavorText.npc_TownSlimePurple","An aerial variant of slime, created in honor of a late Higher Being.  Its fragile mode of transportation coupled with an ambitious mission necessitated a personality matrix be included in this design."
"Bestiary_FlavorText.npc_TownSlimeRainbow","Somehow, the dimensional refuse left by intersecting planes transported a slime idol from its celebrity home in the Derpling Motherplanes.  It seems perfectly content with its new audience, though!"
"Bestiary_FlavorText.npc_TownSlimeRed","Blood Moons bridge the gap to pocket dimensions within water, where unspeakable horrors make their home.  Naturally the Derplings have taken a great interest in these places, so a scout was sent there."
"Bestiary_FlavorText.npc_TownSlimeYellow","A more experimental model of the jungle scout,  which is able to polymorph itself into several forms.  A few kinks have yet to be worked out, however."
"Bestiary_FlavorText.npc_TownSlimeCopper","A scout which has been compromised due to Terrarian interference. Fortunately it can still conduct surveillance on their colonies. The usage of weaponry is not part of its programming, meaning it's unable to use its blade."
"Bestiary_FlavorText.npc_TravellingMerchant","One of the few travelers who has visited both the Continent and the Archipelago, alongside several places which are only theorized about.  It's unknown whether he actually created some of his more exotic wares or purchased them from places on his travels."
"Bestiary_FlavorText.npc_SkeletonMerchant","!!ATTENTION!! If you find one of these, restrain it and contact your nearest Derpling outpost immediately.  They are extremely elusive and are highly suspected of being able to reverse the effects of the Necroavirus, meaning that if one is captured, then we have a decent chance of bringing back the Furred Dragons."
"Bestiary_FlavorText.npc_OldMan","Security protocol prevents disclosure of this Terrarian's bestiary entry at this time.  To gain proper credentials, complete the related assessment."
"Bestiary_FlavorText.npc_BoundTownSlimeYellow","Polymorphing is a rather impure art.  Thankfully this frog seems to have been expertly transformed, though.  I wonder if a slime could be polymorphed by contact with specific metals...."
"Bestiary_FlavorText.npc_Bunny","An icon of absolute purity, highly prized on the continent due to their abilities to weakly inhibit magical wards.  These creatures are highly endangered outside of the Archipelago, and trafficking them is highly illegal."
"Bestiary_FlavorText.npc_PartyBunny","The Party Girl can be quite sneaky when she wants to be."
"Bestiary_FlavorText.npc_ExplosiveBunny","The ward inhibiting powers of the bunny combined with powerful explosives made for a weapon so devastating that most creatures evolved to specifically resist it to a certain extent.  Unfortunately for them, it's still quite strong."
"Bestiary_FlavorText.npc_BunnySlimed","The mind control casing on this bunny allows them to serve as temporary scouts for the Derplings. Fortunately, if the bunny dislikes it they can remove it on their own."
"Bestiary_FlavorText.npc_BunnyXmas","This horrifying hat fills these bunnies with an infinite rage while not under Terrarian supervision, causing them to extract monster parts for Santa's Toys."
"CommonBestiaryFlavor.GoldCritter","A feeble voice beckons within the minds of the weak.  It promises protection, it promises everything.  Most spurn it, as they wisely should. But for those infinitesimal few who indulge it,  free will is naught but a memory.  Their senses torn asunder, their own gleam is all they see.  They cannot recall anything but the Hoard they have entered.  Some allow this horrid entity to gain full control, and by doing so, their fate worsens further.  They regain the sight they formerly had, and are horrified by the dull world they must now gaze upon.  Their voice is silenced by gleaming metal... and they must scream."
"Bestiary_FlavorText.npc_Bird","These creatures are descended from the Harmony's infected, and are able to continue said lineage themselves.  If you're not careful, you can still get hypnotized by their songs..."
"Bestiary_FlavorText.npc_BirdBlue","This species of bird was created as a scout for the Derplings, but unfortunately they were unable to handle the surveying equipment. They continued to breed on their own, and the Derplings looked to more... gelatinous means of spying."
"Bestiary_FlavorText.npc_BirdRed","This rare bird exists as a result of a mutation from a Blue Jay.  Their biology is more adapted to snowy climates, but for whatever reason they choose not to make their homes there. Perhaps this is why they aren't as common?"
"Bestiary_FlavorText.npc_ScarletMacaw","After a certain prophecy mentioned that a bird could end the world, Macaws and their mimicry were placed under scrutiny."
"Bestiary_FlavorText.npc_BlueMacaw","The Derpling's fear of these creatures is not entirely baseless. In fact, they have a bit of a prior history in another world..."
"Bestiary_FlavorText.npc_Toucan","A rather amusing bird, the product of one of  many Derpling experiments.  Unlike most other animals, these creatures reproduce through mitosis."
"Bestiary_FlavorText.npc_YellowCockatiel","These loud birds are very scary to Derplings, who once witnessed them do something terrible."
"Bestiary_FlavorText.npc_GrayCockatiel","For whatever reason, this species of jungle bird seems to be the only one that Derplings aren't afraid of."
"Bestiary_FlavorText.npc_Goldfish","According to all known laws of locomotion, there is no way a goldfish should be able to walk.  Its fins are far too small to get its fat little body over the ground. The goldfish, of course, walks anyway.  Because goldfish don't care what Terrarians think is impossible."
"Bestiary_FlavorText.npc_Squirrel","Despite being most commonly sighted on land, these creatures originated from extensive underwater cities located in the deepest parts of Terraria's oceans.  It seems that they are attempting to send ambassadors to communicate with the Terrarians, but they unfortunately do not share any languages with any bipedal race."
"Bestiary_FlavorText.npc_SquirrelRed","Red Squirrel: The birth of a Red Squirrel is regarded as a bad omen in Squirrel Society.  A rather unsettling fact, considering they have been growing more and more common in recent years..."
"Bestiary_FlavorText.npc_Mouse","A delicate creature which is unsettled by Terrarians and as a result is a rare sight around their settlements.  Their ability to phase through stone is a rather curious one, as necessary as it may be in the Caverns. Oddly enough, their Continent cousins don't seem to fear Terrarians at all and are even considered a pest there."
"Bestiary_FlavorText.npc_Frog","Their high nutritional value and calorie count makes them a popular delicacy in Derpling society.  Additionally, they are often used by Derpling Cultivators deep in the jungle to tell time, as they only croak at night, even when the sky isn't visible."
"Bestiary_FlavorText.npc_Grasshopper","The Great Insect War was long ago, but the Grasshoppers will never forget the sacrifices of their brethren to the Ant Armies.  Not related to Derplings."
"CommonBestiaryFlavor.GoldBaitCritter","A feeble voice beckons within the minds of the weak.  It promises protection, it promises everything.  Most spurn it, as they wisely should. But for those infinitesimal few who indulge it,  free will is naught but a memory.  Their senses torn asunder, their own gleam is all they see.  They cannot recall anything but the Hoard they have entered.  Some allow this horrid entity to gain full control, and by doing so, their fate worsens further.  They regain the sight they formerly had, and are horrified by the dull world they must now gaze upon.  Their voice is silenced by gleaming metal... and they must scream."
"Bestiary_FlavorText.npc_Butterfly","An experiment created by a certain bug-loving Derpling, these creatures come in several varieties with different traits."
"Bestiary_FlavorText.npc_Worm","An incredibly dangerous species, albeit in a harmless larval form.  Do not underestimate them.  Allowing them to grow to a mature state is a rare but dangerous mistake."
"CommonBestiaryFlavor.Dragonfly","Not actually associated with dragons, but the fact that it's found in very diverse climates is interesting nonetheless."
"Bestiary_FlavorText.npc_Seahorse","Not related to horses.  Their excrement can collect in deposits often confused for shells. "
"Bestiary_FlavorText.npc_WaterStrider","These creatures were used as aquatic mounts during the Great Insect War.  Rumor has it that if you listen closely, you can still hear a story from one of these about said war."
"Bestiary_FlavorText.npc_LadyBug","A beetle blessed by the Higher Beings.  Rumor has it that the Fickle Flame himself will smile upon you for treating these well."
"Bestiary_FlavorText.npc_Stinkbug","A beetle cursed by the Higher Beings. Followers of the Fickle Flame are repulsed by their scent, and as a result they can be used to repel them."
"Bestiary_FlavorText.npc_Shimmerfly","Weaker beings that fall into Shimmer have their biologies scrambled into something unique.  No two Faelings are quite alike when dissected."
"Bestiary_FlavorText.npc_Duck","This species of duck is entirely male.  Thankfully, they are able to breed with their white counterparts."
"Bestiary_FlavorText.npc_DuckWhite","Long ago, Ducks had magical powers so gargantuan that they were able to seal any being for eternity.  Unfortunately, this angered the Higher Beings, who swiftly stripped this power away."
"Bestiary_FlavorText.npc_Turtle","Surprisingly, these creatures are able to challenge bunnies to races and win.  You'd think this would be exclusive to tortoises."
"Bestiary_FlavorText.npc_Owl","These creatures are incredibly close to the Higher Beings.  So close, in fact, that a lucky few have heard their voices through their hoots.  As a result, they are considered sacred by the followers of the Fickle Flame and cooking them has been outlawed."
"Bestiary_FlavorText.npc_Firefly","A spy for the Hallow, sent to monitor the state of the Purity while it's sealed.  Their sac can store light and emit it later, but it's very faint due to the lack of ambient light energy in the Forest."
"Bestiary_FlavorText.npc_EnchantedNightcrawler","Sometimes, when a fallen star lands on a worm, it becomes imbued with its power.  These creatures are immortal, but can be killed."
"Bestiary_FlavorText.npc_FairyCritterPink","An infant child of the Empress of Light, sent to assist the Terrarian in gaining power.  Unlike their more mature state, these creatures cannot change the color of their glow."
"Bestiary_FlavorText.npc_FairyCritterGreen","An infant child of the Empress of Light, sent to assist the Terrarian in gaining power.  Unlike their more mature state, these creatures cannot change the color of their glow."
"Bestiary_FlavorText.npc_FairyCritterBlue","An infant child of the Empress of Light, sent to assist the Terrarian in gaining power.  Unlike their more mature state, these creatures cannot change the color of their glow."
"Bestiary_FlavorText.npc_Rat","This critter is actually incredibly common, but most attracted to Ecto Mist.  They only work up the courage to appear once they can get a whiff of it."
"Bestiary_FlavorText.npc_Maggot","The scent of death draws out these larval creatures, unfortunately they are so in tune with death that they die upon finishing their pupal stage rather than progressing into a more mature form.  No one really knows what an adult Maggot looks like, which makes many wonder how they breed."
"CommonBestiaryFlavor.GemSquirrel","A construct, created by dwarves to search for its respective gem. "
"CommonBestiaryFlavor.GemBunny","These bunnies are meticulously crafted from a single gem and animated with magic, rather than being alive."
"Bestiary_FlavorText.npc_Snail","These creatures feed on trash and refuse from the old Human colonies. Sometimes, you can even find them within stuff that's been thrown away and extract them from it!"
"Bestiary_FlavorText.npc_TruffleWorm","The Mycelium was actually based on these worms.  It was a creation of the Duke himself, who designed it after his favorite snack.  These worms are long extinct in their oceanic habitats, but thankfully the Duke's new home for them allows them to thrive."
"CommonBestiaryFlavor.Penguin","These creatures are completely incapable of swimming, despite their bone structure stating otherwise.  In addition, they are one of the most easily available foods to mass-produce due to their extremely fertile nature."
"Bestiary_FlavorText.npc_Scorpion","Despite their pale color, these scorpions are actually not at all poisonous.  It's unknown why the Archipelago variant of these scorpions are this way."
"Bestiary_FlavorText.npc_ScorpionBlack","An infant Sand Poacher.  Weirdly, their dark coloration does correspond to their lack of poison, but they lose this logic as they grow up."
"Bestiary_FlavorText.npc_Grebe","Not at all related to ducks, despite what cooking them would have you believe.  How a Greater Terrarian can create a duck from something that is clearly not a duck is a mystery."
"Bestiary_FlavorText.npc_Pupfish","A rather adorable fish, known for its unparalleled innocence. This reputation came from the fact that the pools they are found in are some of the smallest on the planet."
"Bestiary_FlavorText.npc_Seagull","Despised by Derplings due to their common behavior of stealing their supply of grapes.  Fortunately, they rarely enter the same territory that Derplings reside in. "
"Bestiary_FlavorText.npc_SeaTurtle","These creatures are actually quite a pest in the ruins of the Derpling Motherbase, but they are far more docile in the Archipelago.  Perhaps the synthetic structure there has angered these critters."
"Bestiary_FlavorText.npc_Dolphin","Pirates often confuse these creatures for Mermaids.  What a silly delusion, mermaids don't exist!"
"Bestiary_FlavorText.npc_TurtleJungle","The Derpling responsible for creating the butterflies used to be such an effective Jungle Turtle collector that the mere sight of a derpling is enough to send them into a fear-filled frenzy."
"Bestiary_FlavorText.npc_Grubby","The infant form of Buggy.  Despite their succulent flavor, they are actually not very popular among fish. "
"Bestiary_FlavorText.npc_Sluggy","The juvenile form of Buggy.  It's highly unusual for a juvenile stage of an insect to take on a sluglike biology, but somehow the Sluggy manages."
"Bestiary_FlavorText.npc_Buggy","The adult form of Grubby.  After a long and arduous journey, it's finally progressed to the adult stage.  Please don't eat it."
"Bestiary_FlavorText.npc_HellButterfly","The Derpling who created the other butterflies wished to challenge herself, so she tried to create one that could survive the fires of the Underworld.  It worked quite well!"
"Bestiary_FlavorText.npc_Lavafly","Rather than storing light in their sac, Lavaflies store lava within them and purify it.  Unfortunately, purified lava doesn't actually serve any uses that lava doesn't, so there's no point in trying to extract it."
"Bestiary_FlavorText.npc_MagmaSnail","The lava Magma Snails drink is secreted into a sticky variant that makes many surfaces too hot to touch."
"Bestiary_FlavorText.npc_LightningBug","A bug which flourishes in the Hallow.  Their light sac is inundated with energy due to the sheer magical presence of this area."
"Bestiary_FlavorText.npc_EmpressButterfly","These matured Fairies are responsible for laying the Nanoprism deposits in the Hallow's underground.  Killing one would put a significant dent in the Nanoprism supply chain..."
"Bestiary_FlavorText.npc_GlowingSnail","Glowing Snails are actually quite sweet and sour.  The Keeper of Knowledge himself recommends them as a tasty treat."
"Bestiary_FlavorText.npc_Gnome","Humans who lived in the Living Forest tapped into their magic there to evade the Necroavirus.  Unfortunately, such magic came with a terrible curse.  They have become extremely fearful of outsiders and cannot live in the light again."
"Bestiary_FlavorText.npc_GoblinScout","The Goblin Warlocks long ago decreed that they were to be the enemies of Terrarians.  Their Scouts were sent to find budding Greater Terrarians and return with their whereabouts."
"CommonBestiaryFlavor.Slime","A scout for the Derplings.  Their gelatinous structure can harden into a bludgeoning force and is sprinkled with neurons, so it effectively serves as a simple brain for the creature. "
"Bestiary_FlavorText.npc_Pinky","A rare experimental scout which was designed for having greater mobility and infiltration capabilities.  Unfortunately, it retained the instinct of hardening its membrane, meaning that it doesn't bounce. Thankfully its small size allows for effective infiltration into small spaces.  Its high density means it can drop a lot of its modified gel on defeat."
"Bestiary_FlavorText.npc_WindyBalloon","When slimes are initially launched into an island in the Archipelago, they are attached to these balloons.  On windier days they can be carried far enough away from the invisible Derpling Outposts to reach anywhere on the island."
"Bestiary_FlavorText.npc_Dandelion","These Dayblooms have received enough pollen to advance to the next stage of their life cycle.  They may now spread highly condensed seed packets to the wind to grow more dayblooms all over the world. Unfortunately this makes them a highly dangerous pest on the Continent, and despite their alchemical properties Dayblooms are killed on sight there."
"Bestiary_FlavorText.npc_UmbrellaSlime","This slime seems to have been impaled by a piece of trash.  Thankfully most slimes can't feel pain."
"Bestiary_FlavorText.npc_FlyingFish","A modified fish sent to collect rain.  The water of the Archipelago has excessive magical concentration, which this fish extracts into tubelike organs within its body.  These tubes collect said magic into a glowing material, allowing them to be harvested and used as glowsticks."
"Bestiary_FlavorText.npc_AngryNimbus","An embodiment of a certain Higher Being.  No one knows what made him angry."
"CommonBestiaryFlavor.DemonEye","Sometimes the Necroavirus treated the eyeballs of its hosts as separate victims, who became so bloated with infection that they permanently increased in size.  The title of Demon is not literal here."
"CommonBestiaryFlavor.Zombie","A victim of the Necroavirus, forever bound to roam the Archipelago as an Undead... Until you kill it."
"Bestiary_FlavorText.npc_SlimedZombie","This scout has intentionally attached itself to an Undead in order to research where they go when the sun rises."
"Bestiary_FlavorText.npc_TorchZombie","A follower of the Fickle Flame in life, a mere footsoldier of the night in undeath."
"Bestiary_FlavorText.npc_ZombieRaincoat","A resourceful traveler in life, well prepared for journeying through the harsh weather. Unfortunately, resourcefulness didn't protect them from infection."
"Bestiary_FlavorText.npc_PossessedArmor"," Some weak spirit has managed to reanimate some archaic armor from a previous settlement.  The spirit exudes a similar energy to the Six... Perhaps it's related somehow?"
"Bestiary_FlavorText.npc_Werewolf","During the Age of Tranquility, some Terrarians split off from the rest and began to worship Terraria's ten moons.  One of these moons inflicted a terrible curse on these Terrarians, turning them into dangerous lycanthropes."
"Bestiary_FlavorText.npc_Wraith","The spirits of darkness often manifest into terrifying shadows and hound those who dare oppose them."
"Bestiary_FlavorText.npc_CorruptBunny","A vile perversion of the Purity's symbol. It's unfortunately beyond saving, not even purification powder can save it now..."
"Bestiary_FlavorText.npc_CorruptPenguin","Unfortunately, the fertility of the original bird was not lost when it succumbed to the Corruption."
"Bestiary_FlavorText.npc_CrimsonBunny","A vicious perversion of the Purity's symbol.  Is nothing sacred to the dark side of the Six?"
"Bestiary_FlavorText.npc_CrimsonPenguin","The original bird's fertility has been unfortunately amplified by its Crimtane infection."
"Bestiary_FlavorText.npc_BloodZombie","During a lunar eclipse, pools of water share similar properties to blood.  An interesting synergy resulting from this is the fact that blood may animate into far more hostile forms during the event."
"Bestiary_FlavorText.npc_TheGroom","Many Human tourists tried to have their weddings on the Archipelago in the distant past.  Unfortunately, a certain virus had other plans."
"Bestiary_FlavorText.npc_TheBride","This dress may have been used for a wedding, but there is also a certain cult which wore them while fishing..."
"Bestiary_FlavorText.npc_ZombieMerman","Mermen are a rare species to begin with, after they lost the war against the Squirrels, so it's rather tragic that one would become infected with the Necroavirus."
"Bestiary_FlavorText.npc_Clown","A particularly psychopathic Terrarian which is the terror of the Archipelago during the Lunar Eclipse."
"Bestiary_FlavorText.npc_BloodSquid","A servant of the Cypher's Memory.  Like their master, they are an illusion."
"Bestiary_FlavorText.npc_BloodEelHead","A species from a pocket dimension. The purpose of this place is unknown, but that's what the Surly Slimes are for."
"Bestiary_FlavorText.npc_CorruptGoldfish","According to all known laws of- OH GOD IT BIT ME OH GOD IT WON'T LET GO OH GOD HELLLLLLP"
"Bestiary_FlavorText.npc_CrimsonGoldfish","Vicious Goldfish: According to all known laws of- OH NOOOOO NOT AGAIN"
"Bestiary_FlavorText.npc_Drippler","Despite its appearance, neither this creature nor the Blood Zombie are actually Undead.  They're both blood clots animated by the moon's influence."
"Bestiary_FlavorText.npc_ChatteringTeethBomb","A toy of the Clown, but it's not here to play around."
"Bestiary_FlavorText.npc_EyeballFlyingFish","Oddly enough, this fish seems to have been born this way as a species, rather than any amalgamation of an eye and a fish being related. Is your lure opening the way to a pocket dimension these are native to?"
"Bestiary_FlavorText.npc_GoblinShark","A species from a pocket dimension.  Some of these pocket dimensions are oceans of blood rather than water.  How said blood isn't coagulated remains a mystery."
"Bestiary_FlavorText.npc_BloodNautilus","A memory of a Six long dead, hidden away in another world.  The Cipher created this record of the Spirits of Dark's archaic weapon.  For what reason it did so isn't known, but the record is titled 'Infant Dark Lord'.  When its resident dimension is opened, it creates an exact duplicate of its record."
"Bestiary_FlavorText.npc_HoppinJack","The Derpling's decorations of this slime double as armor! It'll need it to blend in with the denizens of the graveyards."
"Bestiary_FlavorText.npc_MaggotZombie","The Maggots' innate attraction to death has lead them to hitch a ride on the nearest Undead they could find. They seem happy, in a disgusting sort of way."
"Bestiary_FlavorText.npc_Raven","A bird tasked with extracting precious Ecto Mist from graveyards.  They are highly intelligent creatures, and they often perch vigilantly during the lengthy extraction period.  They're extremely paranoid, so do be careful when approaching them..."
"Bestiary_FlavorText.npc_Ghost","Tombstones are created whenever Terrarians use their innate magic to resurrect themselves.  The Ecto Mist and Ghosts are created as a special variant of ectoplasm secreted by these mysterious monoliths. The more murderous ones are a manifestation of the pain a Terrarian feels during death, and they wish to inflict as much of it on others as possible."
"Bestiary_FlavorText.npc_ToxicSludge","The sheer magical shock of the spirits of light and dark's release has caused some slimes to become far more caustic and even develop a primitive personality matrix in their system. Such slimes are a valuable asset to the Derplings and are able to relay far more advanced information to them. "
"Bestiary_FlavorText.npc_GiantWormHead","These juvenile worms are far more dangerous than their previous form.  If letting them progress to this stage was a mistake, it's nothing compared to letting them grow further... thankfully most underground creatures kill them on sight."
"Bestiary_FlavorText.npc_DiggerHead","The explosion of magic from the wall of flesh's defeat has accelerated the growth of these worms and allowed them to enter their mature phase incredibly early.  Thankfully, this species has a lack of magical wards compared to other creatures."
"Bestiary_FlavorText.npc_BabySlime","While slimes do grow quite quickly, this scout has not quite matured enough for deployment yet. It's only a matter of time."
"Bestiary_FlavorText.npc_ShimmerSlime","An encounter with Shimmer has coated this scout in a reflective surface and severed its connection with the Derplings.  A truly aimless creature, it now can do nothing but wander."
"Bestiary_FlavorText.npc_MotherSlime","These slimes effectively serve as remote slime incubators for the Derplings while doubling as scouts.  Thanks to them, Derplings don't have to deploy scouts nearly as often as they used to."
"Bestiary_FlavorText.npc_CochinealBeetle","Derpling Miners have been misnamed enough by Terrarians that the name stuck.  Tasked with extracting various minerals from the Archipelago's underground, they have the ability to create hollow clones of themselves for more efficient mining."
"CommonBestiaryFlavor.Skeleton","Some of the very first humans to be infected were quarantined underground. Due to their longer time spent down there, their skin has long since degraded off."
"Bestiary_FlavorText.npc_Salamander2","These creatures eat the same thing as Crawdads and Giant Shellies. As a result they constantly fight for territory."
"Bestiary_FlavorText.npc_Crawdad","Due to their fierce competition with the Salamanders and Giant Shellies, only two of the three creatures can be found per island."
"Bestiary_FlavorText.npc_UndeadMiner","Among the first to be infected were those closest to the origin point.  Those who were mining near the Dungeon were unfortunately first in line..."
"Bestiary_FlavorText.npc_SkeletonArcher","The quarantine locations necessitated security guards.  Unfortunately they were quick to follow."
"Bestiary_FlavorText.npc_Nymph","A Lesser Terrarian who has gone mad from isolation.  They will attack anyone who approaches them in a bloodthirsty rage."
